outcome,treatment,cohort,has_cancer,prob_mort_start,prob_mort_end,ATE,i_ci,s_ci,pvalue,n,SL_libraries,Q_weights,g_weights,RR,Database
mortality_in,rrt_elig,group_metastasized_vs_nocancer,1,0,1,0.116113277,0.081103676,0.151122877,8.0021322361745e-11,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.467818116216701 0 0 0.532181883783299 0,0.0870734441164872 0 0.874247618021662 0 0.0386789378618505,1.277446587,all
mortality_in,vp_elig,group_metastasized_vs_nocancer,1,0,1,0.031768418,0.006248419,0.057288417,0.014691563,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.403104094326163 0 0 0.517369669740254 0.0795262359335834,0.484156375424404 0 0.0423076179606404 0.339306624342818 0.134229382272138,1.078357689,all
odd_hour,mv_elig,group_metastasized_vs_nocancer,1,0,1,0.018403562,-0.028942009,0.065749133,0.446139971,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0 0.954919028011251 0 0.0450809719887492,0 0 0 0 1,1.03668736,all
odd_hour,rrt_elig,group_metastasized_vs_nocancer,1,0,1,-0.036639098,-0.126202934,0.052924739,0.422666414,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 1 0 0 0,0 0 0 0 1,0.928043848,all
odd_hour,vp_elig,group_metastasized_vs_nocancer,1,0,1,0.002656788,-0.043334268,0.048647843,0.909852756,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0 0.747787536405765 0 0.252212463594235 0,0 0 0 0.120618045831116 0.879381954168884,1.005241974,all
free_days_hosp_28,mv_elig,group_metastasized_vs_nocancer,1,0,1,-0.474745412,-1.039332724,0.0898419,0.099330459,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.321299056871129 0 0 0.652250488156833 0.0264504549720388,0.138422987219658 0 0 0.387062838188387 0.474514174591954,0,all
free_days_hosp_28,rrt_elig,group_metastasized_vs_nocancer,1,0,1,-4.634946186,-5.281708324,-3.988184048,8.13789169123634e-45,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.305182479922967 0 0 0.672680428457279 0.022137091619754,0.288362275302482 0 0.586096040788653 0.056957416591694 0.0685842673171706,0,all
free_days_hosp_28,vp_elig,group_metastasized_vs_nocancer,1,0,1,-0.992874802,-1.790193484,-0.195556121,0.014657864,1920,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.314554718238063 0 0 0.552397705952324 0.133047575809614,0.606209409600703 0 0 0.216088972771044 0.177701617628254,0,all
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
